Date,Close
3/2/2015,15264.05
3/3/2015,15133.85
3/4/2015,15082.84
3/5/2015,15103.11
3/6/2015,14952.5
3/9/2015,14854.49
3/10/2015,14641.76
3/11/2015,14739.2
3/12/2015,14770.72
3/13/2015,14731.5
3/16/2015,14862.76
3/17/2015,14898.53
3/18/2015,14962.24
3/19/2015,14873.93
3/20/2015,14942.41
3/23/2015,14957.21
3/24/2015,15081.26
3/25/2015,14929.37
3/26/2015,14869.8
3/27/2015,14812.42
3/30/2015,14908.39
3/31/2015,14902.44
4/1/2015,14942.55
4/2/2015,15026.62
4/6/2015,15100.65
4/7/2015,15188.84
4/8/2015,15213.6
4/9/2015,15326.31
4/10/2015,15388.43
4/13/2015,15383.59
4/14/2015,15389.28
4/15/2015,15450.87
4/16/2015,15386.77
4/17/2015,15360.55
4/20/2015,15412.6
4/21/2015,15346.44
4/22/2015,15304.77
4/23/2015,15392.35
4/24/2015,15408.33
4/27/2015,15344.08
4/28/2015,15346.07
4/29/2015,15347.34
4/30/2015,15224.52
5/1/2015,15339.77
5/4/2015,15367.47
5/5/2015,15173.94
5/6/2015,15023.89
5/7/2015,15088.82
5/8/2015,15170.02
5/11/2015,15152.64
5/12/2015,15043.15
5/13/2015,14980.72
5/14/2015,15028.12
5/15/2015,15108.12
5/19/2015,15121.02
5/20/2015,15072.83
5/21/2015,15203.61
5/22/2015,15200.76
5/25/2015,15187.4
5/26/2015,15050.81
5/27/2015,15110.47
5/28/2015,15107
5/29/2015,15014.09
6/1/2015,15074.13
6/2/2015,15104.74
6/3/2015,15154.68
6/4/2015,15019.39
6/5/2015,14957.16
6/8/2015,14743.33
6/9/2015,14817.71
6/10/2015,14889.04
6/11/2015,14830.88
6/12/2015,14741.15
6/15/2015,14756.05
6/16/2015,14753.05
6/17/2015,14732.98
6/18/2015,14770.64
6/19/2015,14653.12
6/22/2015,14790.48
6/23/2015,14904.91
6/24/2015,14947.51
6/25/2015,14897.5
6/26/2015,14808.09
6/29/2015,14490.15
6/30/2015,14553.33
7/2/2015,14637.99
7/3/2015,14682.39
7/6/2015,14593.57
7/7/2015,14624.5
7/8/2015,14412.07
7/9/2015,14278.49
7/10/2015,14411.07
7/13/2015,14533.22
7/14/2015,14599.4
7/15/2015,14662.28
7/16/2015,14731.08
7/17/2015,14642.84
7/20/2015,14425.55
7/21/2015,14376.24
7/22/2015,14307.12
7/23/2015,14265.37
7/24/2015,14186.24
7/27/2015,14001.37
7/28/2015,14077.36
7/29/2015,14301.8
7/30/2015,14382.78
7/31/2015,14468.44
8/4/2015,14491.05
8/5/2015,14502.99
8/6/2015,14405.91
8/7/2015,14302.7
8/10/2015,14466.39
8/11/2015,14414.67
8/12/2015,14339.53
8/13/2015,14238.4
8/14/2015,14277.88
8/17/2015,14251.53
8/18/2015,14193.87
8/19/2015,14036.63
8/20/2015,13737
8/21/2015,13473.67
8/24/2015,13052.74
8/25/2015,13150.93
8/26/2015,13381.59
8/27/2015,13766.67
8/28/2015,13865.07
8/31/2015,13859.12
9/1/2015,13481.9
9/2/2015,13545.25
9/3/2015,13596.41
9/4/2015,13478.31
9/8/2015,13630.67
9/9/2015,13531.85
9/10/2015,13569.89
9/11/2015,13461.47
9/14/2015,13353.34
9/15/2015,13462.71
9/16/2015,13763.78
9/17/2015,13787.16
9/18/2015,13646.9
9/21/2015,13779.44
9/22/2015,13491.09
9/23/2015,13383.69
9/24/2015,13338.67
9/25/2015,13378.57
9/28/2015,13004.58
9/29/2015,13036.96
9/30/2015,13306.96
10/1/2015,13241.89
10/2/2015,13339.74
10/5/2015,13552.2
10/6/2015,13647.26
10/7/2015,13868.35
10/8/2015,13978.66
10/9/2015,13964.36
10/13/2015,13844.73
10/14/2015,13875.33
10/15/2015,13828.97
10/16/2015,13838.1
10/19/2015,13758.38
10/20/2015,13841.92
10/21/2015,13704.19
10/22/2015,13878.11
10/23/2015,13953.66
10/26/2015,13790.9
10/27/2015,13699.6
10/28/2015,13863.16
10/29/2015,13791.88
10/30/2015,13529.17
11/2/2015,13623.01
11/3/2015,13710.31
11/4/2015,13661.82
11/5/2015,13558.78
11/6/2015,13553.3
11/9/2015,13482.62
11/10/2015,13411.63
11/11/2015,13341.93
11/12/2015,13127.18
11/13/2015,13075.42
11/16/2015,13317.52
11/17/2015,13280.39
11/18/2015,13399.97
11/19/2015,13473.83
11/20/2015,13433.49
11/23/2015,13382.38
11/24/2015,13407.83
11/25/2015,13403.42
11/26/2015,13425.19
11/27/2015,13368.24
11/30/2015,13469.83
12/1/2015,13636.06
12/2/2015,13463.82
12/3/2015,13324.67
12/4/2015,13358.77
12/7/2015,13042.83
12/8/2015,12922.47
12/9/2015,12937.59
12/10/2015,13016.59
12/11/2015,12789.95
12/14/2015,12695.49
12/15/2015,12919.57
12/16/2015,13166.08
12/17/2015,13009.93
12/18/2015,13024.3
12/21/2015,13034.38
12/22/2015,13082.86
12/23/2015,13284.91
12/24/2015,13309.8
12/29/2015,13245.75
12/30/2015,13142.29
12/31/2015,13009.95
1/4/2016,12927.15
1/5/2016,12920.14
1/6/2016,12726.8
1/7/2016,12448.21
1/8/2016,12445.45
1/11/2016,12319.25
1/12/2016,12373.9
1/13/2016,12170.41
1/14/2016,12336.03
1/15/2016,12073.46
1/18/2016,11942.17
1/19/2016,12002.24
1/20/2016,11843.11
1/21/2016,12035.86
1/22/2016,12389.58
1/25/2016,12143.16
1/26/2016,12331.32
1/27/2016,12377.77
1/28/2016,12591.93
1/29/2016,12822.13
2/1/2016,12674.37
2/2/2016,12442.26
2/3/2016,12593.02
2/4/2016,12774.5
2/5/2016,12763.99
2/8/2016,12535.4
2/9/2016,12282.65
2/10/2016,12185.72
2/11/2016,12087.37
2/12/2016,12381.24
2/16/2016,12554.98
2/17/2016,12867.16
2/18/2016,12931.36
2/19/2016,12813.4
2/22/2016,12845.63
2/23/2016,12763.44
2/24/2016,12740.27
2/25/2016,12753.6
2/26/2016,12797.79
2/29/2016,12860.35
3/1/2016,12982.1
3/2/2016,13017.93
3/3/2016,13123.65
3/4/2016,13212.5
3/7/2016,13383.6
3/8/2016,13311.05
3/9/2016,13392.9
3/10/2016,13379.14
3/11/2016,13522
3/14/2016,13477.54
3/15/2016,13400.31
3/16/2016,13478.13
3/17/2016,13621.3
3/18/2016,13497.07
3/21/2016,13561.09
3/22/2016,13493.49
3/23/2016,13379.48
3/24/2016,13358.11
3/28/2016,13390.19
3/29/2016,13426.23
3/30/2016,13503.98
3/31/2016,13494.36
4/1/2016,13440.44
4/4/2016,13336.15
4/5/2016,13304.66
4/6/2016,13347.46
4/7/2016,13266.44
4/8/2016,13396.73
4/11/2016,13422.76
4/12/2016,13581.42
4/13/2016,13671.35
4/14/2016,13668.29
4/15/2016,13637.2
4/18/2016,13719.82
4/19/2016,13867.28
4/20/2016,13911.29
4/21/2016,13881.2
4/22/2016,13874
4/25/2016,13795.99
4/26/2016,13809.44
4/27/2016,13887.66
4/28/2016,13886.43
4/29/2016,13951.45
5/2/2016,13865.63
5/3/2016,13707.68
5/4/2016,13632
5/5/2016,13632.01
5/6/2016,13701.47
5/9/2016,13563.84
5/10/2016,13775.19
5/11/2016,13788.21
5/12/2016,13787.8
5/13/2016,13748.58
5/16/2016,13893.49
5/17/2016,13917.1
5/18/2016,13826.01
5/19/2016,13817.32
5/20/2016,13919.58
5/24/2016,13952.85
5/25/2016,14053.74
5/26/2016,14049.2
5/27/2016,14105.23
5/30/2016,14086.67
5/31/2016,14065.78
6/1/2016,14063.54
6/2/2016,14136.99
6/3/2016,14226.78
6/6/2016,14276.16
6/7/2016,14365.61
6/8/2016,14313.1
6/9/2016,14240.02
6/10/2016,14037.54
6/13/2016,13993.88
6/14/2016,13884.23
6/15/2016,13923.45
6/16/2016,13882.41
6/17/2016,13901.77
6/20/2016,14015.14
6/21/2016,14012.32
6/22/2016,14003.81
6/23/2016,14131.38
6/24/2016,13891.88
6/27/2016,13689.79
6/28/2016,13842.69
6/29/2016,14036.74
6/30/2016,14064.54
7/4/2016,14258.87
7/5/2016,14219.57
7/6/2016,14231.06
7/7/2016,14134.46
7/8/2016,14259.84
7/11/2016,14361.88
7/12/2016,14477.67
7/13/2016,14493.8
7/14/2016,14514.52
7/15/2016,14482.42
7/18/2016,14532.4
7/19/2016,14524.61
7/20/2016,14533.57
7/21/2016,14565.83
7/22/2016,14600.66
7/25/2016,14498.1
7/26/2016,14550
7/27/2016,14546.54
7/28/2016,14552.72
7/29/2016,14582.74
8/2/2016,14477.01
8/3/2016,14512.05
8/4/2016,14528.78
8/5/2016,14648.77
8/8/2016,14755.62
8/9/2016,14801.23
8/10/2016,14775.04
8/11/2016,14796.06
8/12/2016,14747.45
8/15/2016,14777.02
8/16/2016,14703.44
8/17/2016,14697.6
8/18/2016,14695.68
8/19/2016,14687.46
8/22/2016,14748.19
8/23/2016,14764.77
8/24/2016,14626.24
8/25/2016,14630.72
8/26/2016,14639.88
8/29/2016,14681.97
8/30/2016,14684.85
8/31/2016,14597.95
9/1/2016,14683.91
9/2/2016,14795.7
9/6/2016,14813.02
9/7/2016,14796.75
9/8/2016,14803.26
9/9/2016,14540
9/12/2016,14597.14
9/13/2016,14349.1
9/14/2016,14366.46
9/15/2016,14503.67
9/16/2016,14450.69
9/19/2016,14496.23
9/20/2016,14521.98
9/21/2016,14710.82
